Id,中文,繁体,英文,西班牙语,德语,法语,印度尼西亚,葡萄牙语,泰语,意大利语
Id,Chinese,Chinese_tw,English,Spanish,German,French,Indonesian,Portugese,Thai,Italian
string,string,string,string,string,string,string,string,string,string,string
txt_or,或,或,or,ou,o,oder,o,ou,หรือ,atau
txt_work_time,烹饪时间:,烹飪時間:,Work time:,Temps de travail?:,Tempo di lavoro:,Arbeitszeit:,Tiempo de trabajo:,Tempo de trabalho:,เวลางาน:,Waktu kerja:
txt_upgrade_level,下次升级在关卡{0}解锁,下次升級在{0}關解鎖,Next upgrade at level {0},Prochaine mise à jour au niveau {0},Prossimo miglioramento al livello {0},N?chstes Upgrade auf Stufe {0},Siguiente actualización en el nivel {0},Próximo upgrade no nível {0},อัปเกรดครั้งต่อไปที่ระดับ {0},Peningkatan berikutnya di level {0}
txt_unlock,{0}关解锁,{0}關解鎖,Level {0},Niveau {0},Livello {0},Level {0},Nivel {0},Nível {0},ระดับ {0},Tingkat {0}
txt_unlock_x,未解锁,未解鎖,Not unlocked,Non déverrouillé,Non sbloccato,Nicht freigeschaltet,No desbloqueado,N?o desbloqueado,ไม่ได้ปลดล็อก,Terkunci
txt_num,数量:,數量:,Number:,Numéro?:,Numero:,Nummer:,Número:,Número:,จำนวน:,Jumlah:
txt_burn_time,烧焦时间:,燒焦時間:,Burn time:,Durée de cuisson?:,Tempo di bruciatura:,Brenndauer:,Tiempo de quemar:,Tempo de queima:,เวลาเผาไหม้:,Waktu pembakaran:
txt_fresh_decay,保鲜减缓:,保鮮減緩:,Fresh decay:,Décomposition fra?che?:,Scadenza:,Frischer Verfall:,Deterioro fresco:,Decadência recente:,การสลายตัวใหม่:,Peluruhan baru:
txt_game_level,第{0}关,第{0}關,Level {0},Niveau {0},Livello {0},Level {0},Nivel {0},Nível {0},ระดับ {0},Tingkat {0}
txt_cw_hight_lev,已拥有,已擁有,Owend,Piégé,Posseduto,Besessen,Owend,Possuído,เป็นเจ้าของ,Dimiliki
txt_level,{0}级,{0}級,Lev {0},Niv {0},Liv {0},Lev {0},Lev {0},Nível {0},ระดับ {0},Tingkat {0}
cookmore,"购买新厨具,{0}烹饪更多菜品!","購買新廚具,{0}烹飪更多菜品!",Cooking more dishes!,Cuisiner plus de plats?!,Cucina più piatti!,Mehr Gerichte kochen!,?Cocinando más platos!,Preparando mais pratos!,ทำอาหารเพิ่ม!,Memasak lebih banyak hidangan!
txt_trying_holding,试用将在明天0点结束! {0}购买{1}对烹饪更有帮助。,試用將在明天0點結束! {0}購買{1}對烹飪更有幫助。,Try time will end the next day! {0} Buy {1} for more useful.,Le temps d'essai se terminera le lendemain! {0} Achète {1} pour plus d'utilité.,Il tempo di prova finirà il giorno successivo! {0} Acquista {1} per ulteriore utilizzo.,Die Testzeit endet am n?chsten Tag! {0} Kaufen Sie {1} für weitere nützliche Informationen.,?El tiempo de prueba terminará al día siguiente! {0} Compra {1} para obtener más información.,O tempo de teste terminará no dia seguinte! {0} Compre {1} para obter mais informa??es.,ลองเวลาจะสิ้นสุดในวันถัดไป! {0} ซื้อ {1} เพื่อประโยชน์มากขึ้น,Waktu percobaan akan berakhir keesokan harinya! {0} Beli {1} untuk lebih bermanfaat.
